Ref,Val,Package,PosX,PosY,Rot,Side
"D2","LED","LED_0805_2012Metric",33.835000,-65.330000,0.000000,bottom
"D3","LED","LED_0805_2012Metric",33.815000,-63.250000,0.000000,bottom
"D4","LED","LED_0805_2012Metric",33.805000,-61.150000,0.000000,bottom
"R10","220","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",36.725000,-65.610000,0.000000,bottom
"R11","470","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",36.645000,-63.230000,0.000000,bottom
"R12","220","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",36.732500,-61.120000,0.000000,bottom
